Name,Age,GPA,Credits_Completed,Year,Pathway
Daniel White,14,1.62,2,Junior,Business
Isabelle Johnson,16,1.91,32,Super Senior,Construction
Marie Anderson,14,0.41,13,Junior,Marketing
Joe Fraker,18,1.4,58,Sophmore,Engineering
Emma Garcia,17,3.67,39,Sophmore,Early College
Alex King,16,1.13,42,Super Senior,Bio Med
Ben Moore,17,0.5,7,Junior,Engineering
Bob Davis,19,2.49,20,Sophmore,Early College
Marie Garcia,16,4.39,12,Super Senior,Fine Arts
Mac Davis,17,4.17,18,Junior,Business
Josh Moore,15,3.74,35,Junior,Computer Science
Lily Garcia,17,1.12,24,Super Senior,Bio Med
Rachel Anderson,17,2.94,46,Freshman,Early College
Ian Scott,19,3.73,55,Senior,Marketing
Tom Davis,19,3.72,41,Junior,Early Childhood Education
Rachel Garcia,17,4.18,53,Senior,Engineering
Sophie Jones,16,2.55,27,Senior,Fine Arts
Mac King,17,2.82,30,Sophmore,Construction
Sarah Moore,15,2.87,55,Sophmore,Early College
Marie Anderson,17,3.93,45,Super Senior,Marketing
Joe Scott,18,0.42,12,Freshman,Early College
Tom Brown,17,4.17,5,Super Senior,Early College
Josh White,16,3.98,55,Freshman,Bio Med
Marie Fraker,17,2.69,59,Sophmore,Bio Med
Hayden Smith,15,1.59,41,Sophmore,Fine Arts
Hayden Foster,16,3.1,27,Junior,Marketing
Marie White,15,3.25,29,Junior,Computer Science
Isabelle Anderson,19,3.33,59,Super Senior,Culinary
Marie Scott,18,4.11,35,Senior,Marketing
Tom Moore,14,2.54,35,Sophmore,Business
Daniel Foster,19,1.63,50,Super Senior,Bio Med
Marie Moore,15,1.55,8,Super Senior,Computer Science
Daniel King,19,1.95,23,Super Senior,Marketing
Bob King,17,4.44,35,Junior,Early Childhood Education
Josh Moore,17,4.36,36,Junior,Early College
Tom Fraker,19,0.37,56,Senior,Business
Ian Davis,19,0.9,14,Sophmore,Marketing
Lily Johnson,17,2.37,13,Super Senior,Engineering
Lily White,17,0.66,8,Super Senior,Early Childhood Education
Daniel Smith,18,0.77,52,Freshman,Early Childhood Education
Sarah Miller,15,0.37,39,Freshman,Marketing
Alex Scott,19,3.31,30,Freshman,Fine Arts
Emma Brown,16,3.38,49,Sophmore,Early College
Josh Davis,18,3.54,39,Super Senior,Early College
Alex Scott,19,1.07,42,Junior,Culinary
Ian Garcia,19,1.52,56,Senior,Fine Arts
Josh Foster,17,1.13,43,Junior,Engineering
Sarah Garcia,17,4.24,19,Junior,Construction
Sarah Smith,18,1.1,22,Freshman,Fine Arts
Sophie Scott,17,3.42,40,Freshman,Early College
Alex Garcia,18,1.56,27,Sophmore,Engineering
Emma Jones,18,2.73,52,Senior,Construction
Sarah German,17,3.1,15,Sophmore,Bio Med
Josh Garcia,17,2.53,1,Freshman,Business
Tom Fraker,19,3.59,52,Sophmore,Early College
Mac King,18,1.66,16,Freshman,Construction
Emma Smith,16,3.75,32,Senior,Computer Science
Joe Johnson,15,2.91,32,Super Senior,Engineering
Bob Johnson,16,1.99,51,Sophmore,Business
Bob Fraker,18,3.54,60,Sophmore,Marketing
Ben Jones,15,1.85,6,Junior,Construction
Joe Foster,19,4.03,45,Freshman,Computer Science
Ian Anderson,19,2.69,39,Senior,Engineering
Bob Miller,14,1.74,44,Senior,Computer Science
Sarah Miller,14,4.15,15,Freshman,Culinary
Isabelle Jones,18,0.42,10,Super Senior,Business
Sarah Scott,17,1.59,38,Junior,Marketing
Sophie King,14,2.43,4,Sophmore,Fine Arts
Joe Williams,14,0.95,31,Super Senior,Early College
Bob Johnson,19,1.53,47,Freshman,Engineering
Isabelle Garcia,17,2.28,5,Super Senior,Fine Arts
Bob Jones,14,3.18,5,Freshman,Business
Sarah Anderson,14,2.06,4,Sophmore,Business
Emma Davis,19,4.2,53,Sophmore,Construction
Sarah Smith,18,2.2,25,Super Senior,Construction
Emma White,15,1.13,13,Sophmore,Marketing
Emma Fraker,19,2.61,27,Freshman,Culinary
Josh Fraker,16,4.4,42,Senior,Bio Med
Ben Williams,14,1.4,17,Junior,Culinary
Sophie Williams,18,2.96,8,Sophmore,Marketing
Daniel Moore,16,3.85,39,Junior,Bio Med
Joe Johnson,15,3.55,37,Freshman,Engineering
Hayden Brown,14,3.01,5,Freshman,Computer Science
Bob Scott,15,1.16,57,Freshman,Marketing
Sophie Davis,15,2.98,30,Senior,Early Childhood Education
Bob German,14,1.3,22,Senior,Culinary
Rachel Johnson,18,1.13,49,Super Senior,Culinary
Lily Foster,16,0.73,24,Senior,Fine Arts
Bob Williams,14,3.87,43,Sophmore,Fine Arts
Sarah White,16,0.77,2,Sophmore,Bio Med
Rachel Johnson,14,2.39,41,Junior,Business
Ian Scott,17,3.42,45,Junior,Engineering
Alex Williams,17,3.68,9,Senior,Construction
Rachel Miller,19,2.35,38,Sophmore,Business
Alex Foster,18,3.37,8,Super Senior,Business
Emma Miller,19,2.58,8,Junior,Computer Science
Daniel Foster,19,3.6,16,Freshman,Business
Marie Jones,16,0.33,29,Freshman,Computer Science
Rachel Miller,17,0.59,50,Super Senior,Marketing
Lily Brown,19,4.17,32,Freshman,Culinary
Sarah Brown,14,4.19,37,Freshman,Bio Med
Joe Johnson,19,3.71,44,Senior,Early Childhood Education
Ben Foster,14,2.02,11,Super Senior,Culinary
Lily Williams,15,0.66,14,Freshman,Construction
Josh Smith,17,3.88,33,Super Senior,Engineering
Rachel Williams,17,2.35,30,Senior,Computer Science
Alex Smith,17,0.44,42,Freshman,Bio Med
Daniel White,16,0.61,7,Sophmore,Business
Daniel Moore,16,3.98,53,Junior,Marketing
Emma Jones,17,2.58,17,Sophmore,Bio Med
Sophie Davis,19,1.99,23,Junior,Early College
Emma Williams,19,3.45,3,Sophmore,Fine Arts
Alex Moore,14,2.46,15,Sophmore,Bio Med
Joe Scott,17,3.68,7,Senior,Early College
Daniel Miller,18,1.67,27,Sophmore,Fine Arts
Ben Anderson,17,2.38,24,Freshman,Fine Arts
Rachel Smith,16,1.99,16,Junior,Business
Sarah Moore,16,2.87,14,Senior,Engineering
Alex King,17,0.56,30,Super Senior,Marketing
Emma Davis,18,0.37,56,Freshman,Early Childhood Education
Mac Moore,19,4.14,15,Super Senior,Early Childhood Education
Marie King,18,0.4,51,Sophmore,Marketing
Ian White,17,2.96,19,Senior,Business
Isabelle Moore,17,2.09,34,Freshman,Marketing
Lily Smith,14,2.77,1,Freshman,Engineering
Joe Williams,16,0.97,21,Junior,Culinary
Mac Brown,14,3.69,19,Freshman,Marketing
Josh White,19,2.17,39,Freshman,Business
Hayden Fraker,16,2.55,30,Freshman,Engineering
Emma Johnson,14,4.11,16,Senior,Marketing
Bob Williams,17,3.71,6,Super Senior,Computer Science
Marie Foster,18,4.19,43,Sophmore,Construction
Bob Smith,19,0.64,52,Junior,Engineering
Isabelle Brown,15,3.83,14,Freshman,Construction
Lily Williams,16,3.03,14,Senior,Engineering
Tom German,19,0.63,41,Senior,Computer Science
Bob Moore,16,4.42,42,Sophmore,Engineering
Joe King,19,2.25,1,Freshman,Early College
Mac Davis,14,2.66,6,Freshman,Bio Med
Ian German,15,2.36,10,Junior,Computer Science
Mac Moore,19,3.12,47,Super Senior,Bio Med
Isabelle Johnson,16,2.76,42,Junior,Early Childhood Education
Rachel Foster,14,2.3,46,Sophmore,Culinary
Bob King,18,3.73,52,Freshman,Culinary
Josh Scott,15,4.15,0,Super Senior,Engineering
Marie Fraker,18,1.83,34,Sophmore,Early College
Marie German,18,3.28,58,Senior,Bio Med
Bob Miller,18,4.18,36,Freshman,Fine Arts
Sophie Johnson,19,3.11,4,Senior,Early College
Isabelle Moore,14,3.37,22,Junior,Early Childhood Education
Tom Moore,15,2.9,4,Junior,Early College
Sarah Moore,16,3.34,11,Senior,Engineering
Daniel Smith,16,3.56,20,Sophmore,Marketing
Sarah Fraker,15,2.82,25,Sophmore,Business
Daniel Davis,17,3.57,46,Junior,Construction
Ian Miller,18,0.36,49,Super Senior,Culinary
Lily Fraker,14,1.66,40,Sophmore,Early Childhood Education
Rachel King,14,4.21,28,Senior,Culinary
Marie Anderson,19,0.38,16,Senior,Fine Arts
Marie White,19,1.73,53,Sophmore,Culinary
Rachel Foster,19,1.39,20,Junior,Computer Science
Mac Foster,17,0.35,38,Sophmore,Business
Rachel Davis,17,4.33,49,Senior,Early Childhood Education
Hayden White,14,0.75,25,Super Senior,Construction
Marie Moore,17,3.21,34,Junior,Computer Science
Daniel Anderson,17,1.83,51,Senior,Engineering
Emma Foster,14,2.59,34,Sophmore,Construction
Mac German,15,1.07,3,Super Senior,Culinary
Rachel Johnson,18,2.86,20,Junior,Fine Arts
Emma Jones,17,3.99,41,Junior,Business
Tom Anderson,15,0.34,9,Senior,Early Childhood Education
Mac Anderson,17,1.58,24,Junior,Business
Daniel Miller,17,1.74,19,Sophmore,Early College
Isabelle German,15,3.55,14,Senior,Engineering
Ian Smith,14,2.36,0,Junior,Bio Med
Tom Williams,18,0.73,23,Junior,Marketing
Ian Johnson,16,1.13,20,Senior,Early College
Isabelle White,15,0.98,17,Sophmore,Computer Science
Marie Fraker,14,1.85,37,Senior,Computer Science
Emma Miller,18,2.07,50,Senior,Business
Alex Scott,18,3.22,50,Freshman,Culinary
Marie Garcia,14,2.36,4,Junior,Early Childhood Education
Isabelle Miller,19,1.39,36,Freshman,Early Childhood Education
Emma Davis,14,3.56,31,Freshman,Engineering
Mac Jones,15,3.74,19,Senior,Fine Arts
Emma Scott,19,3.19,23,Sophmore,Engineering
Lily Foster,19,3.59,57,Super Senior,Computer Science
Isabelle Davis,17,2.49,37,Senior,Computer Science
Isabelle Fraker,19,0.66,19,Sophmore,Construction
Isabelle Brown,19,4.4,43,Sophmore,Fine Arts
Sarah Scott,17,1.96,25,Sophmore,Culinary
Ian King,18,2.77,52,Sophmore,Bio Med
Alex King,14,3.01,23,Senior,Computer Science
Daniel Scott,15,1.83,2,Super Senior,Fine Arts
Ben White,16,2.44,0,Junior,Culinary
Hayden Moore,19,2.49,7,Senior,Marketing
Emma Garcia,16,0.34,23,Junior,Fine Arts
Hayden Davis,15,3.13,49,Junior,Fine Arts
Tom Garcia,15,3.04,42,Super Senior,Fine Arts
Bob Scott,19,0.42,49,Senior,Culinary
Bob White,17,2.91,1,Senior,Fine Arts
Sarah Davis,14,3.77,56,Senior,Early Childhood Education
Mac Moore,14,0.34,26,Super Senior,Early College
Sarah Williams,18,1.27,14,Junior,Early Childhood Education
Sophie Williams,18,1.22,41,Junior,Culinary
Sophie Williams,15,0.64,11,Junior,Construction
Josh Garcia,16,2.83,22,Senior,Engineering
Ian Miller,17,1.02,45,Junior,Culinary
Josh Miller,16,0.41,49,Freshman,Early College
Isabelle Johnson,15,2.49,60,Freshman,Construction
Ben White,14,2.82,24,Sophmore,Business
Joe Smith,19,2.99,3,Super Senior,Construction
Sarah Garcia,15,0.42,15,Freshman,Computer Science
Rachel Scott,14,0.51,19,Super Senior,Early College
Daniel Jones,19,0.53,21,Super Senior,Fine Arts
Sarah Smith,18,0.93,3,Super Senior,Construction
Lily Miller,15,1.52,26,Super Senior,Business
Joe Garcia,15,0.36,53,Junior,Construction
Daniel Williams,19,3.27,19,Senior,Early College
Daniel Miller,16,1.64,13,Senior,Culinary
Daniel Smith,17,1.5,38,Senior,Early College
Rachel Brown,16,2.1,32,Junior,Marketing
Marie Johnson,15,1.16,18,Junior,Computer Science
Sophie Fraker,18,1.07,12,Junior,Early College
Bob Fraker,17,3.02,39,Freshman,Marketing
Daniel Miller,16,1.02,27,Sophmore,Early Childhood Education
Mac Johnson,14,3.49,53,Junior,Marketing
Mac Davis,14,4.42,28,Junior,Bio Med
Josh Smith,16,3.64,13,Senior,Construction
Daniel Davis,15,1.63,60,Sophmore,Fine Arts
Emma Smith,15,4.41,40,Freshman,Marketing
Lily German,17,1.5,19,Super Senior,Early College
Sarah White,19,4.24,26,Super Senior,Marketing
Hayden Garcia,17,4.38,24,Junior,Culinary
Alex Moore,17,2.66,57,Junior,Business
Sophie Anderson,16,0.63,23,Super Senior,Engineering
Marie Miller,14,0.75,59,Senior,Computer Science
Marie Davis,15,0.45,38,Junior,Fine Arts
Ben Davis,18,0.54,8,Super Senior,Construction
Rachel Garcia,17,1.88,23,Freshman,Fine Arts
Joe Moore,15,2.85,48,Sophmore,Computer Science
Alex King,19,2.72,18,Freshman,Engineering
Josh Johnson,19,3.62,55,Freshman,Culinary
Rachel Johnson,19,2.2,43,Senior,Fine Arts
Ben Miller,16,3.09,4,Senior,Marketing
Ian Davis,17,1.0,42,Sophmore,Early College
Daniel Foster,15,0.93,38,Sophmore,Computer Science
Daniel Jones,19,2.79,12,Sophmore,Construction
Ben Williams,18,3.72,0,Senior,Early College
Ben Davis,17,1.85,9,Sophmore,Early Childhood Education
Mac Davis,16,3.64,57,Super Senior,Culinary
Isabelle Miller,15,2.76,58,Sophmore,Bio Med
Bob King,15,0.38,4,Junior,Culinary
Mac White,15,1.4,18,Junior,Computer Science
Rachel Williams,14,4.36,44,Junior,Early Childhood Education
Marie Williams,17,0.98,31,Senior,Computer Science
Bob Miller,19,3.99,21,Junior,Marketing
Lily Smith,19,1.97,22,Freshman,Business
Rachel Smith,19,3.4,6,Freshman,Engineering
Sarah Foster,14,2.6,22,Junior,Construction
Daniel Johnson,15,2.35,3,Super Senior,Marketing
Joe Scott,17,1.91,25,Freshman,Early College
Sophie Fraker,14,1.32,28,Junior,Fine Arts
Daniel Fraker,15,1.34,51,Sophmore,Bio Med
Ian Moore,17,0.39,7,Sophmore,Business
Ian Scott,19,3.46,10,Super Senior,Early Childhood Education
Tom Miller,17,2.0,36,Sophmore,Marketing
Isabelle Scott,14,3.44,9,Freshman,Early Childhood Education
Josh Jones,17,1.26,15,Sophmore,Construction
Alex Anderson,18,1.61,34,Senior,Bio Med
Mac Jones,17,0.89,12,Senior,Construction
Ian Brown,16,1.31,38,Sophmore,Fine Arts
Alex Williams,18,1.16,28,Super Senior,Early College
Isabelle Johnson,18,2.7,12,Freshman,Engineering
Tom Miller,17,1.41,16,Senior,Business
Daniel Anderson,16,0.39,40,Freshman,Bio Med
Lily Fraker,14,3.79,24,Freshman,Bio Med
Bob Johnson,17,0.6,56,Freshman,Early Childhood Education
Marie Jones,14,1.53,32,Freshman,Computer Science
Bob Jones,16,4.35,6,Freshman,Business
Tom Foster,16,0.9,41,Sophmore,Engineering
Hayden Jones,14,3.6,30,Sophmore,Engineering
Isabelle Anderson,16,0.63,41,Super Senior,Computer Science
Alex King,15,1.14,54,Freshman,Marketing
Ian White,19,3.83,28,Senior,Bio Med
Sophie Garcia,15,1.95,20,Super Senior,Marketing
Daniel Davis,15,0.95,26,Junior,Culinary
Josh Jones,17,0.69,45,Senior,Construction
Mac Johnson,16,3.39,15,Freshman,Bio Med
Daniel Jones,16,1.12,11,Senior,Business
Mac Garcia,14,3.82,59,Senior,Business
Daniel King,16,0.58,9,Sophmore,Early College
Bob Johnson,19,2.64,24,Sophmore,Early College
Tom Garcia,14,1.84,6,Super Senior,Culinary
Tom Fraker,17,0.76,36,Freshman,Early Childhood Education
Hayden Moore,19,0.52,37,Sophmore,Early College
Hayden Garcia,19,3.05,3,Senior,Bio Med
Daniel Williams,18,0.38,41,Freshman,Construction
Josh Foster,16,1.08,14,Sophmore,Early College
Rachel Brown,19,4.0,34,Senior,Early College
Rachel Moore,19,1.12,56,Senior,Marketing
Isabelle Moore,19,3.61,22,Junior,Early Childhood Education
Marie Garcia,15,3.56,46,Sophmore,Early Childhood Education
Josh White,15,4.34,56,Super Senior,Bio Med
Rachel Smith,15,2.82,3,Super Senior,Engineering
Rachel German,19,4.02,21,Freshman,Early Childhood Education
Rachel Smith,14,2.25,13,Junior,Fine Arts
Rachel Foster,17,3.61,44,Super Senior,Engineering
Daniel Anderson,14,4.24,2,Sophmore,Early Childhood Education
Rachel Johnson,16,4.49,10,Super Senior,Culinary
Hayden Davis,16,3.04,48,Senior,Early Childhood Education
Lily Williams,17,3.31,38,Sophmore,Culinary
Isabelle Fraker,15,1.2,22,Super Senior,Business
Daniel Anderson,15,4.19,10,Senior,Bio Med
Marie Johnson,14,4.35,34,Senior,Marketing
Daniel German,17,0.45,17,Super Senior,Bio Med
Bob Brown,15,1.39,57,Freshman,Business
Ben Jones,17,2.23,60,Senior,Computer Science
Hayden Anderson,19,0.32,53,Sophmore,Culinary
Alex Foster,14,4.39,41,Sophmore,Business
Hayden German,19,2.8,12,Super Senior,Marketing
Daniel Smith,15,0.34,59,Junior,Construction
Sophie Scott,16,2.92,29,Senior,Early Childhood Education
Sarah Johnson,19,0.98,35,Sophmore,Bio Med
Daniel Williams,15,2.5,45,Sophmore,Engineering
Lily Miller,16,1.34,37,Super Senior,Early Childhood Education
Josh Anderson,15,0.96,41,Junior,Construction
Rachel Moore,19,0.84,28,Sophmore,Early Childhood Education
Hayden Fraker,19,2.04,5,Sophmore,Fine Arts
Alex Williams,17,0.92,49,Junior,Early College
Marie Williams,16,2.94,51,Freshman,Construction
Lily Fraker,15,0.33,20,Senior,Business
Josh Miller,17,2.38,41,Freshman,Culinary
Josh Jones,18,1.47,24,Senior,Construction
Marie Garcia,18,3.66,22,Sophmore,Fine Arts
Ian King,17,2.89,30,Super Senior,Computer Science
Josh Williams,18,4.37,25,Junior,Computer Science
Hayden White,19,2.5,42,Junior,Bio Med
Joe Scott,17,2.46,12,Super Senior,Culinary
Marie German,17,1.23,32,Junior,Bio Med
Sarah Garcia,17,3.44,1,Junior,Business
Lily King,18,4.37,48,Super Senior,Business
Josh Anderson,19,3.68,1,Senior,Culinary
Emma Jones,16,3.33,2,Sophmore,Early Childhood Education
Bob Fraker,16,1.62,37,Sophmore,Engineering
Rachel Davis,17,2.36,56,Super Senior,Business
Isabelle Moore,17,1.16,56,Freshman,Fine Arts
Bob Williams,18,3.49,41,Sophmore,Business
Emma Jones,19,1.6,0,Senior,Business
Daniel Garcia,14,3.21,31,Junior,Business
Hayden German,15,1.69,14,Super Senior,Construction
Rachel German,19,2.25,31,Junior,Early College
Daniel Fraker,16,4.4,16,Freshman,Fine Arts
Isabelle White,14,0.38,30,Junior,Culinary
Ben Jones,14,1.06,52,Junior,Marketing
Ian Brown,14,1.63,16,Junior,Business
Emma Miller,15,4.19,27,Super Senior,Early Childhood Education
Rachel Davis,18,1.69,43,Senior,Engineering
Marie Foster,14,3.94,35,Freshman,Business
Hayden Moore,19,0.75,41,Senior,Early College
Emma Garcia,18,3.26,35,Sophmore,Culinary
Ben Miller,17,0.84,10,Super Senior,Early College
Sarah Garcia,18,2.94,28,Sophmore,Business
Tom Anderson,15,3.08,21,Freshman,Engineering
Marie Fraker,14,2.82,34,Senior,Engineering
Sophie Fraker,17,4.33,58,Sophmore,Bio Med
Joe Jones,14,3.92,39,Senior,Bio Med
Bob Anderson,18,3.67,13,Freshman,Culinary
Ian Williams,15,0.66,59,Sophmore,Fine Arts
Daniel Fraker,19,3.41,46,Sophmore,Business
Joe German,17,2.77,24,Sophmore,Culinary
Marie Miller,19,0.8,50,Junior,Marketing
Emma Johnson,18,2.08,17,Super Senior,Fine Arts
Rachel Moore,14,4.48,52,Super Senior,Business
Isabelle White,16,3.69,18,Sophmore,Business
Tom Anderson,15,3.52,52,Senior,Computer Science
Bob Davis,17,3.8,9,Sophmore,Computer Science
Sophie Miller,14,3.25,2,Sophmore,Culinary
Lily White,17,4.08,26,Super Senior,Business
Daniel Williams,14,3.51,51,Super Senior,Computer Science
Hayden Garcia,18,2.21,14,Junior,Business
Hayden Johnson,16,1.93,50,Senior,Computer Science
Lily Williams,14,2.12,32,Senior,Fine Arts
Joe German,14,0.37,38,Freshman,Construction
Tom Miller,14,0.89,54,Sophmore,Bio Med
Marie Davis,18,1.38,3,Freshman,Marketing
Rachel Williams,19,2.01,19,Sophmore,Fine Arts
Rachel Scott,18,1.13,21,Junior,Marketing
Josh Foster,14,3.78,43,Super Senior,Bio Med
Rachel Garcia,19,1.7,52,Sophmore,Computer Science
Josh Moore,14,3.94,4,Freshman,Construction
Bob Johnson,19,2.67,57,Freshman,Culinary
Isabelle Moore,15,0.64,47,Junior,Fine Arts
Sarah German,19,4.14,37,Freshman,Computer Science
Marie Jones,17,4.05,17,Senior,Fine Arts
Ian Foster,16,3.01,5,Freshman,Culinary
Alex Smith,18,0.75,3,Freshman,Business
Sophie Garcia,16,2.12,44,Freshman,Fine Arts
Hayden Williams,15,1.1,53,Freshman,Marketing
Ian Anderson,19,3.3,37,Junior,Bio Med
Mac Foster,17,1.01,0,Junior,Business
Mac Garcia,19,3.58,38,Senior,Engineering
Ian Brown,16,3.87,40,Junior,Culinary
Rachel Jones,18,1.33,28,Junior,Culinary
Lily Fraker,16,3.01,51,Senior,Marketing
Hayden Garcia,16,3.32,58,Super Senior,Marketing
Hayden Jones,19,2.59,2,Junior,Computer Science
Daniel Foster,14,0.38,12,Sophmore,Marketing
Tom Williams,14,0.77,24,Sophmore,Early College
Emma Jones,17,3.51,8,Senior,Marketing
Alex Scott,14,3.82,59,Freshman,Business
Tom Anderson,15,2.88,17,Junior,Marketing
Lily Foster,19,1.89,19,Freshman,Early Childhood Education
Marie Williams,14,2.71,49,Super Senior,Marketing
Sophie Moore,17,1.17,55,Freshman,Construction
Tom Miller,17,0.61,24,Sophmore,Early College
Lily Smith,14,3.49,16,Sophmore,Culinary
Sophie Garcia,19,3.77,23,Junior,Fine Arts
Sarah Fraker,14,2.6,41,Super Senior,Marketing
Josh King,15,1.75,19,Super Senior,Bio Med
Marie Fraker,19,3.17,1,Super Senior,Fine Arts
Josh King,15,0.97,28,Junior,Early Childhood Education
Ben Scott,15,4.06,24,Junior,Early College
Lily Smith,15,2.08,53,Senior,Culinary
Joe Moore,15,2.54,24,Freshman,Computer Science
Sophie Fraker,18,0.99,42,Freshman,Culinary
Ben Williams,15,0.93,36,Senior,Marketing
Sophie Miller,14,2.15,38,Junior,Culinary
Daniel Miller,16,3.57,18,Sophmore,Bio Med
Hayden Williams,14,1.79,5,Super Senior,Marketing
Mac Miller,18,3.18,0,Junior,Early College
Isabelle Fraker,18,0.62,26,Junior,Engineering
Ben Foster,14,1.06,28,Sophmore,Bio Med
Lily Brown,19,3.73,12,Junior,Engineering
Tom Brown,14,1.12,57,Sophmore,Early College
Daniel Garcia,16,1.37,27,Sophmore,Engineering
Isabelle Miller,15,3.09,23,Freshman,Early College
Joe Brown,17,2.73,47,Junior,Marketing
Bob Anderson,18,2.16,30,Sophmore,Bio Med
Tom White,14,1.37,58,Senior,Culinary
Lily Garcia,16,0.91,28,Freshman,Marketing
Mac Jones,17,2.95,29,Super Senior,Business
Tom Anderson,17,4.3,33,Freshman,Business
Emma Scott,18,1.19,3,Super Senior,Computer Science
Lily Smith,14,1.58,22,Sophmore,Bio Med
Rachel Miller,19,1.67,30,Super Senior,Business
Mac Foster,14,0.47,11,Super Senior,Marketing
Isabelle Brown,15,3.52,49,Sophmore,Fine Arts
Isabelle Moore,19,0.33,10,Junior,Culinary
Ben Jones,16,0.97,24,Sophmore,Bio Med
Sophie Brown,18,3.52,4,Freshman,Fine Arts
Ben Moore,18,1.93,6,Sophmore,Fine Arts
Daniel Anderson,19,1.53,0,Freshman,Engineering
Mac Moore,15,0.73,4,Sophmore,Construction
Marie Smith,17,3.6,37,Sophmore,Marketing
Lily White,17,1.42,5,Sophmore,Engineering
Sarah Anderson,17,0.66,53,Senior,Construction
Sarah Jones,15,2.96,20,Freshman,Early College
Ben Davis,18,4.24,52,Senior,Business
Sarah Foster,19,3.98,55,Sophmore,Marketing
Sarah Brown,17,2.98,0,Senior,Early College
Joe Miller,17,2.32,21,Senior,Marketing
Sarah Jones,16,2.0,41,Junior,Construction
Sophie King,19,3.83,35,Senior,Culinary
Hayden German,19,4.14,0,Freshman,Construction
Josh White,16,4.08,55,Super Senior,Construction
Lily King,19,3.3,52,Super Senior,Business
Marie Jones,17,1.31,4,Sophmore,Fine Arts
Hayden Anderson,14,0.39,42,Super Senior,Culinary
Lily Johnson,14,1.25,7,Junior,Construction
Lily Moore,17,2.91,2,Super Senior,Marketing
Sophie White,19,2.61,18,Sophmore,Construction
Bob Johnson,19,0.9,38,Sophmore,Marketing
Bob Davis,17,3.34,17,Freshman,Marketing
Joe Foster,19,2.57,28,Senior,Early College
Daniel Jones,14,0.94,0,Senior,Early College
Rachel Foster,15,2.35,31,Super Senior,Fine Arts
Josh Jones,14,0.98,56,Junior,Marketing
Sophie Williams,16,4.01,35,Sophmore,Marketing
Josh Johnson,15,1.0,23,Sophmore,Engineering
Tom Moore,17,1.88,39,Junior,Engineering
Mac Johnson,15,2.14,7,Senior,Early College
Mac White,17,3.41,14,Junior,Marketing
Isabelle Moore,16,1.77,11,Junior,Business
Sophie White,19,3.69,42,Senior,Business
Ian Miller,17,4.12,50,Freshman,Business
Rachel King,14,4.49,33,Junior,Computer Science
Hayden Anderson,14,3.96,51,Freshman,Early College
Sarah Foster,18,3.71,38,Junior,Business
Emma Williams,18,0.84,40,Senior,Culinary
Rachel Jones,17,2.19,36,Senior,Early Childhood Education
Bob King,19,0.36,25,Super Senior,Marketing
Emma White,16,1.33,38,Super Senior,Early College
Sophie Garcia,14,0.34,57,Freshman,Business
Lily Williams,15,1.06,30,Junior,Fine Arts
Lily Smith,15,0.32,47,Sophmore,Business
Ian Garcia,14,2.4,4,Super Senior,Early Childhood Education
Ben White,16,2.76,16,Freshman,Marketing
Emma Scott,18,1.01,24,Senior,Engineering
Ian King,15,0.59,60,Junior,Engineering
Daniel White,19,3.44,57,Sophmore,Fine Arts
Mac Johnson,15,3.96,6,Sophmore,Bio Med
Bob Garcia,14,3.6,39,Senior,Business
Alex White,19,3.72,30,Super Senior,Fine Arts
Sophie Garcia,16,3.75,25,Super Senior,Early Childhood Education
Daniel Anderson,18,1.09,6,Super Senior,Marketing
Ian German,19,3.19,47,Junior,Engineering
Joe Brown,15,0.77,50,Senior,Early Childhood Education
Isabelle King,18,0.5,33,Senior,Marketing
Bob Johnson,15,3.2,6,Super Senior,Early College
Daniel Williams,18,1.79,45,Freshman,Engineering
Alex Fraker,15,1.08,24,Super Senior,Fine Arts
Ben German,15,2.96,34,Senior,Construction
Joe Jones,16,2.38,34,Freshman,Marketing
Bob Moore,14,4.08,10,Senior,Bio Med
Tom Scott,16,4.38,34,Sophmore,Marketing
Josh King,16,3.09,12,Senior,Culinary
Isabelle Moore,14,1.12,15,Super Senior,Culinary
Emma Scott,15,1.18,49,Senior,Engineering
Bob Fraker,17,1.09,60,Super Senior,Business
Sarah White,17,3.85,56,Freshman,Fine Arts
Joe White,19,2.33,43,Super Senior,Culinary
Hayden Johnson,16,1.74,0,Freshman,Marketing
Ian Fraker,17,2.41,31,Super Senior,Construction
Alex King,19,2.83,30,Junior,Culinary
Emma Fraker,14,3.74,8,Senior,Construction
Sarah Scott,19,1.14,17,Sophmore,Early College
Emma King,15,3.86,32,Freshman,Business
Ian Foster,15,2.87,53,Sophmore,Bio Med
Daniel Foster,18,0.99,42,Freshman,Bio Med
Alex Johnson,17,1.81,19,Super Senior,Business
Sarah Williams,18,3.15,12,Sophmore,Early College
Sophie Garcia,18,2.46,53,Senior,Fine Arts
Hayden Foster,19,3.22,33,Freshman,Early College
Alex Scott,18,0.3,48,Freshman,Construction
Alex Brown,19,2.86,36,Sophmore,Bio Med
Rachel Moore,15,0.62,45,Freshman,Business
Ian Smith,16,1.65,12,Super Senior,Computer Science
Sophie German,15,1.13,8,Freshman,Culinary
Tom Williams,19,4.11,37,Sophmore,Early College
Isabelle Anderson,16,2.67,47,Junior,Culinary
Josh White,14,2.63,33,Freshman,Marketing
Bob Johnson,16,1.29,53,Sophmore,Marketing
Alex King,14,1.06,58,Super Senior,Marketing
